column_a,103_1_start_ii,conference_report_s_1124,motion_to_waive_cba_re_kennedy_amdt_no_3119,motion_to_invoke_cloture_s_1541,passage_h_r_2880,s_652_conference_report,motion_to_table_moynihan_amdt_no_3120,motion_to_waive_cba_re_harkin_amdt_no_3122,name,party
0,1,1,0,1,1,1,1,0,Spencer Abraham,R
1,1,1,1,0,1,1,0,1,Daniel Akaka,D
2,0,1,0,1,1,1,1,0,John Ashcroft,R
3,1,0,1,0,1,1,0,1,Max Baucus,D
4,1,2,2,1,2,1,2,2,Robert Bennett,R
5,1,0,1,0,1,1,0,1,Joseph Biden,D
6,1,0,1,0,1,1,0,1,Jeff Bingaman,D
7,1,1,0,1,1,1,1,0,Christopher Bond,R
8,1,0,1,0,1,1,0,1,Barbara Boxer,D
9,1,0,1,0,1,1,0,1,Bill Bradley,D
10,1,1,1,0,1,1,0,1,John Breaux,D
11,1,0,0,1,0,1,1,0,Hank Brown,R
12,1,0,1,0,0,1,0,1,Richard Bryan,D
13,1,0,1,0,1,1,0,1,Dale Bumpers,D
14,1,1,0,1,1,1,1,0,Conrad Burns,R
15,1,0,1,0,1,1,0,0,Robert Byrd,D
16,2,2,2,1,2,1,2,2,Ben Campbell,R
17,1,1,1,1,1,1,1,0,John Chafee,R
18,2,2,2,1,2,1,2,2,Dan Coats,R
19,1,1,0,1,1,1,1,0,Thad Cochran,R
20,1,1,1,1,1,1,1,1,William Cohen,R
21,1,0,1,0,1,1,0,1,Kent Conrad,D
22,1,1,0,1,1,1,1,0,Paul Coverdell,R
23,1,1,0,1,1,1,1,0,Larry Craig,R
24,1,1,0,1,1,1,1,0,Alfonse D'Amato,R
25,1,0,1,0,1,1,0,1,Thomas Daschle,D
26,1,1,0,1,1,1,1,0,Mike DeWine,R
27,1,0,1,0,0,2,0,1,Christopher Dodd,D
28,1,1,0,1,1,1,1,0,Bob Dole,R
29,2,2,0,1,2,1,1,2,Pete Domenici,R
30,1,0,1,0,1,1,0,1,Byron Dorgan,D
31,1,1,1,0,1,1,0,1,J. Exon,D
32,2,2,2,1,2,1,2,2,Lauch Faircloth,R
