column_a,confirmation_hillary_rodham_clinton_of_new_york_to_be_secretary_of_state,confirmation_timothy_f_geithner_of_new_york_to_be_secretary_of_the_treasury,motion_to_invoke_cloture_on_s_22,motion_to_invoke_cloture_on_the_motion_to_proceed_to_s_22,motion_to_invoke_cloture_on_the_motion_to_proceed_to_s_181,motion_to_invoke_cloture_on_the_nomination_of_cass_r_sunstein_to_be_administrator_of_the_office_of_regulatory_affairs_office_of_management_and_budget,motion_to_table_demint_amdt_no_31,motion_to_table_isakson_amdt_no_37,motion_to_table_vitter_amdt_no_34,s_181,s_22_as_amended,name,party
0,1,1,1,1,1,true,1,1,1,1,1,Daniel Akaka,D
1,1,0,0,2,1,false,1,0,0,0,1,Lamar Alexander,R
2,1,0,1,1,0,false,0,0,0,0,1,John Barrasso,R
3,1,1,1,1,1,true,1,1,1,1,1,Max Baucus,D
4,1,1,1,1,1,true,1,1,1,1,1,Evan Bayh,D
5,1,1,1,1,1,true,1,1,1,1,1,Mark Begich,D
6,1,1,1,1,1,true,1,1,1,1,1,Robert Bennett,R
7,1,0,2,2,1,true,0,0,0,0,2,Joseph Biden,D
8,1,1,1,1,1,true,1,1,1,1,1,Jeff Bingaman,D
9,1,2,1,2,1,false,1,0,0,0,1,Christopher Bond,R
10,1,1,1,1,1,true,1,1,1,1,1,Barbara Boxer,D
11,1,2,2,2,2,true,1,1,1,1,2,Sherrod Brown,D
12,1,0,0,0,0,false,0,0,0,0,0,Samuel Brownback,R
13,1,0,2,2,2,false,0,0,0,0,2,Jim Bunning,R
14,1,0,0,2,1,false,0,0,0,0,0,Richard Burr,R
15,1,1,1,1,1,true,1,1,1,1,1,Robert Byrd,D
16,1,0,1,1,1,true,1,1,1,1,1,Maria Cantwell,D
17,1,1,1,1,1,true,1,1,1,1,1,Benjamin Cardin,D
18,1,1,1,1,1,true,1,1,1,1,1,Thomas Carper,D
19,1,1,1,1,1,true,1,1,1,1,1,Bob Casey,D
20,1,1,0,2,0,true,1,1,1,1,0,Saxby Chambliss,R
21,2,0,1,1,1,false,0,0,0,0,1,Hillary Clinton,D
22,1,0,0,0,0,false,0,0,0,0,0,Tom Coburn,R
23,1,0,1,1,0,false,0,0,0,0,1,Thad Cochran,R
24,1,0,1,1,1,true,1,1,0,1,1,Susan Collins,R
